"","person.key","Team","Name","fanpoints","G","pred_points_sum","pred_games_count","pred_games_above_count","fanpos","position"
"1","abrej003","White Sox","Jose Abreu",514,150,352.441253865155,83.7819048325134,42.0102415982545,"1B","1B"
"2","adamm002","Nationals","Matt Adams",201,58,307.318336165973,72.865789946012,35.5733954069651,"1B","1B"
"3","adamw002","Rays","Willy Adames",434.5,148,NA,NA,NA,"SS","SS"
"4","adrie001","Twins","Ehire Adrianza",68,23,266.056145910586,68.713118202508,29.9114416153467,"SS","SS"
"5","aguij001","Brewers","Jesus Aguilar",535,150,357.658295886854,91.3356800238368,43.0066320986495,"1B","1B"
"6","ahmen001","Diamondbacks","Nick Ahmed",433.5,148,335.041630295378,82.5963010000203,37.8134570926319,"SS","SS"
"7","albeh001","Orioles","Hanser Alberto",79,30,NA,NA,NA,"3B","SS"
"8","albio001","Braves","Ozzie Albies",535,155,417.038036930139,112.977160166838,46.0152714131457,"2B","2B"
"9","alfaj002","Marlins","Jorge Alfaro",307.5,122,315.147076261203,73.1520224345495,37.5232584960505,"C","C"
"10","alfoa002","Blue Jays","Anthony Alford",47,18,224.965117796893,49.2107067143062,26.1750595529236,"OF","OF"
"11","alleg002","Indians","Greg Allen",122.5,45,253.46727847992,74.1111352802049,29.911038158337,"OF","OF"
"12","alony001","White Sox","Yonder Alonso",468,142,341.271625534615,87.7405262679283,37.7430681002732,"1B","1B"
"13","altha001","Phillies","Aaron Altherr",132,41,309.397082599905,74.2854490734036,33.9997080538553,"OF","OF"
"14","altuj001","Astros","Jose Altuve",553.5,153,320.943282484322,91.4024686038492,38.6151518745237,"2B","2B"
"15","andeb006","Marlins","Brian Anderson",474,153,344.633348930649,89.4788951451585,40.58224028879,"3B","OF"
"16","andet001","White Sox","Tim Anderson",450.5,148,362.950303757416,96.9791583310097,42.0061197686005,"SS","SS"
"17","andre001","Rangers","Elvis Andrus",458.5,150,330.143780894143,88.5484032097278,37.7011469677667,"SS","SS"
"18","andum001","Yankees","Miguel Andujar",487,142,383.497390667248,96.303452093974,42.6837859317081,"3B","3B"
"19","arcio002","Brewers","Orlando Arcia",367.5,133,308.853244154801,74.0338549266454,35.7410368829493,"SS","SS"
"20","arenn001","Rockies","Nolan Arenado",635,155,396.295625580179,107.712384111174,46.3267999430518,"3B","3B"
"21","arroc001","Rays","Christian Arroyo",22.5,8,273.408172269469,62.5271267869246,31.3986149988782,"3B","2B"
"22","astuw001","Twins","Willians Astudillo",131,42,NA,NA,NA,"C","C"
"23","austt001","Twins","Tyler Austin",54,17,261.322583705367,71.1468823259471,31.4316477115787,"1B","1B"
"24","avela001","Giants","Abiatal Avelino",13,5,NA,NA,NA,"2B","SS"
"25","avila001","Diamondbacks","Alex Avila",242,84,254.687674614878,52.9370053184177,29.6938715804358,"C","C"
"26","badeh001","Cardinals","Harrison Bader",426,139,323.796505031271,87.1823114177557,37.9889053529571,"OF","OF"
"27","baezj001","Cubs","Javier Baez",560.5,152,442.139166648562,122.505521466302,49.9096569964756,"2B","2B"
"28","barna001","Dodgers","Austin Barnes",275,91,229.361745260099,56.0923377980398,26.5611605143423,"C","C"
"29","barnt001","Reds","Tucker Barnhart",318,114,326.287604043524,84.2997996948189,38.3812385012501,"C","C"
"30","barrf001","Athletics","Franklin Barreto",160,50,271.726995187513,63.3877635577661,31.6352352752805,"2B","2B"
"31","bauej001","Indians","Jake Bauers",486.5,147,NA,NA,NA,"1B","1B"
"32","beckg001","Tigers","Gordon Beckham",7.5,3,149.778648460427,31.9737117191859,17.3081822753654,"2B","2B"
"33","beckt001","Mariners","Tim Beckham",166,58,323.441732435033,77.6130485064083,38.0921245786899,"SS","SS"
"34","bellc002","Dodgers","Cody Bellinger",590.5,150,436.890677588584,116.705498917557,48.1173895069833,"1B","1B"
"35","bellj005","Pirates","Josh Bell",495.5,147,372.585278802977,92.1241466402534,43.2363401788179,"1B","1B"
"36","beltb001","Giants","Brandon Belt",487.5,145,320.245534773725,79.8645448669823,37.5847286327176,"1B","1B"
"37","benia002","Red Sox","Andrew Benintendi",573,153,401.791643869033,111.06649292113,46.7635645231769,"OF","OF"
"38","bettm001","Red Sox","Mookie Betts",689.5,162,450.634050350792,128.48826134676,50.0876394486544,"OF","OF"
"39","birdg001","Yankees","Greg Bird",139,42,321.299092453366,75.8274339918959,34.9794226689965,"1B","1B"
"40","blacc001","Rockies","Charlie Blackmon",579.5,150,359.653168277082,113.531187682654,43.1468097201067,"OF","OF"
"41","blana002","Reds","Alex Blandino",40,15,NA,NA,NA,"2B","2B"
"42","bogax001","Red Sox","Xander Bogaerts",551.5,153,433.165428868318,104.478336739257,45.9261496404748,"SS","SS"
"43","bonij002","Royals","Jorge Bonifacio",99,33,318.517937597127,72.016391591742,36.9059456829893,"OF","OF"
"44","boted002","Cubs","David Bote",78.5,26,NA,NA,NA,"3B","3B"
"45","bourj002","Angels","Justin Bour",331,97,327.773458392043,80.7521300610145,38.3251302662694,"1B","1B"
"46","branm003","Astros","Michael Brantley",476,142,339.819778124637,98.9640833171081,37.9412836905657,"OF","OF"
"47","braur002","Brewers","Ryan Braun",482,133,293.119992484696,81.5817252032974,34.9026708388613,"OF","OF"
"48","brega001","Astros","Alex Bregman",592.5,155,393.839358311058,109.020174366796,45.1670631818524,"3B","3B"
"49","bricj001","Angels","Jose Briceno",40.5,15,NA,NA,NA,"C","C"
"50","brinl001","Marlins","Lewis Brinson",396.5,142,288.410395772662,75.9258049327902,32.7396297593544,"OF","OF"
"51","brits001","Diamondbacks","Socrates Brito",57.5,19,NA,NA,NA,"OF","OF"
"52","broxk001","Mets","Keon Broxton",128.5,45,248.421822244776,62.4734263198269,27.953470877673,"OF","OF"
"53","brucj001","Mariners","Jay Bruce",376.5,117,325.611973794629,76.9304573273721,35.2977311873396,"OF","OF"
"54","bryak001","Cubs","Kris Bryant",585,155,385.570387988002,99.7925717598696,44.8753955622362,"3B","3B"
"55","buxtb001","Twins","Byron Buxton",400,125,268.809332167941,63.2137728183345,30.7222909748365,"OF","OF"
"56","cabra002","Rangers","Asdrubal Cabrera",490,147,316.795970534571,75.3070617068862,37.6054285538937,"2B","2B"
"57","cabrm001","Tigers","Miguel Cabrera",458.5,133,275.752737240127,54.4290606037684,33.40612918124,"1B","1B"
"58","cabrm002","Pirates","Melky Cabrera",115.5,38,252.601766079104,68.4183736276192,28.2847882127429,"OF","OF"
"59","cainl001","Brewers","Lorenzo Cain",506,150,326.384392081541,96.9913099381494,38.9899051334132,"OF","OF"
"60","calhk001","Angels","Kole Calhoun",479.5,150,312.831587759739,90.8613053238778,37.0391478475213,"OF","OF"
"61","calhw001","Rangers","Willie Calhoun",91.5,28,278.199917329698,67.9973805009273,32.5953303334278,"OF","OF"
"62","camaj001","Braves","Johan Camargo",295,95,342.887947061343,88.2528369640179,38.7157509052077,"3B","3B"
"63","candj002","Tigers","Jeimer Candelario",472.5,150,360.805360572182,94.8053172416933,42.3695605170939,"3B","3B"
"64","canhm001","Athletics","Mark Canha",193.5,60,289.715629168237,73.8511915887847,34.3075731064411,"OF","OF"
"65","canor001","Mets","Robinson Cano",466,142,245.528683755309,60.0982501834543,29.2927243428153,"2B","2B"
"66","carav001","Cubs","Victor Caratini",130,44,272.508713614581,65.4981097046507,30.5704232693363,"C","C"
"67","carpm002","Cardinals","Matt Carpenter",558,148,383.31819481404,113.189065728786,44.8024082688125,"1B","1B"
"68","casac001","Reds","Curt Casali",7.5,3,249.250764962062,56.9021597325033,29.8140017313271,"C","C"
"69","castj006","Twins","Jason Castro",278.5,99,223.450594244621,46.6134543355601,25.9480443505036,"C","C"
"70","casts001","Marlins","Starlin Castro",441.5,152,375.834282787848,88.0708494179829,44.9173725835671,"2B","2B"
"71","castw002","White Sox","Welington Castillo",288.5,99,249.958958175913,56.8810457106379,29.6114915479932,"C","C"
"72","cavej001","Twins","Jake Cave",143,47,NA,NA,NA,"OF","OF"
