"","person.key","Team","Name","fanpoints","G","pred_points_sum","pred_games_count","pred_games_above_count","position","points_sum_lag1","games_count_lag1","games_above_count_lag1","points_sd_lag1"
"1","adama002","Nationals","Austin Adams",72,20,59.436627417532,26.2294661789303,-0.687362369667614,"R",5.5,2,0,6.7175144212722
"2","adamc002","Yankees","Chance Adams",10.5,2,NA,NA,NA,"R",NA,NA,NA,NA
"3","albem001","Brewers","Matt Albers",306.5,65,69.1041160505739,32.5879121589861,1.32410044564219,"R",154.166666666667,34,2,5.45578792708512
"4","alcas001","Marlins","Sandy Alcantara",81.5,8,329.6493246588,21.8406103244283,-0.0409816561630386,"S",64,6,3,12.7226831551629
"5","alcav001","Tigers","Victor Alcantara",168,40,52.1309790532126,26.4319034476906,-1.44790854370215,"R",119,27,0,3.59556152472221
"6","alexs001","Dodgers","Scott Alexander",233,50,138.628631268056,41.0536174935107,2.18613187831786,"R",335,73,5,4.32416071495033
"7","allak001","Braves","Kolby Allard",37.5,3,NA,NA,NA,"R",NA,NA,NA,NA
"8","allec002","Angels","Cody Allen",390.5,65,45.5218088338646,33.8619034665265,-0.2674535402605,"C",396.5,70,7,5.0907618057217
"9","almoy001","Rockies","Yency Almonte",33.5,3,NA,NA,NA,"R",NA,NA,NA,NA
"10","altad001","Mariners","Dan Altavilla",68,20,69.5154633415607,29.555247842628,-0.285101247793583,"R",103.333333333333,22,0,3.03621717250508
"11","alvaj003","Phillies","Jose Alvarez",150,40,51.4510327046003,37.4977698466686,-1.48764771296345,"R",319.5,76,4,3.82899258428719
"12","alvaj004","Rays","Jose Alvarado",393,60,44.5068004969481,41.0159388332318,0.491733163385217,"R",411,70,4,3.61148323187516
"13","andeb004","Athletics","Brett Anderson",126,11,353.274891396458,25.0649723166622,5.38633482733467,"S",133.166666666667,17,8,10.9783562319482
"14","andec001","Brewers","Chase Anderson",335,58,359.479290817167,29.5351642257209,3.74381301480538,"S",306,30,14,6.05599667977457
"15","anded003","Phillies","Drew Anderson",46.5,12,172.317437629319,20.9324328648505,3.4921475353983,"R",33.3333333333333,5,0,2.34816713393423
"16","andej005","Angels","Justin Anderson",224,50,NA,NA,NA,"R",NA,NA,NA,NA
