"","game.key","person.key","game.date","team.key","opponent.key","seq","P_GS","P_CG","P_SHO","P_GF","P_W","P_L","P_SV","P_OUT","P_TBF","P_AB","P_R","P_ER","P_H","P_TB","P_2B","P_3B","P_HR","P_HR4","P_BB","P_IBB","P_SO","P_GDP","P_HP","P_SH","P_SF","P_XI","P_WP","P_BK","P_IR","P_IRS","P_GO","P_AO","P_PITCH","P_STRIKE","teamwon","teamscore","oppscore","prevruns","prevwin","prevloss","subruns","subwin","subloss","holdsest","IP","points"
"1","ANA201704070","alvaj003",2017-04-07,"ANA","SEA",2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,3,3,1,5,1,1,1,0,0,0,0,1,0.333333333333333,7.16666666666667
"2","ANA201704070","baila001",2017-04-07,"ANA","SEA",4,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,14,10,1,5,1,1,1,0,0,0,0,1,1,9.5
"3","ANA201704070","chavj001",2017-04-07,"ANA","SEA",1,1,0,0,0,1,0,0,17,22,21,1,1,4,4,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,3,8,89,59,1,5,1,0,0,0,0,0,0,0,5.66666666666667,16.8333333333333
"4","ANA201704070","fienc001",2017-04-07,"SEA","ANA",2,0,0,0,0,0,0,0,6,7,7,2,2,2,5,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,3,0,21,17,0,1,5,3,0,1,0,0,0,0,2,5
"5","ANA201704070","gally001",2017-04-07,"SEA","ANA",1,1,0,0,0,0,1,0,15,25,22,3,3,8,12,1,0,1,0,2,1,4,0,0,0,1,0,0,0,0,0,5,5,91,51,0,1,5,0,0,0,2,0,0,0,5,7.5
"6","ANA201704070","norrb001",2017-04-07,"ANA","SEA",3,0,0,0,0,0,0,0,3,5,4,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,13,9,1,5,1,1,1,0,0,0,0,1,1,9.5
"7","ANA201704070","overd001",2017-04-07,"SEA","ANA",3,0,0,0,1,0,0,0,3,4,4,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,12,10,0,1,5,5,0,1,0,0,0,0,1,5.5
"8","ANA201704070","parkb001",2017-04-07,"ANA","SEA",5,0,0,0,1,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,20,14,1,5,1,1,1,0,0,0,0,0,1,4.5
"9","ANA201704080","bedrc001",2017-04-08,"ANA","SEA",3,0,0,0,1,0,0,1,5,6,5,0,0,1,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,1,0,1,31,21,1,5,4,4,1,0,0,0,0,0,1.66666666666667,14.8333333333333
"10","ANA201704080","hernf002",2017-04-08,"SEA","ANA",1,1,0,0,0,0,0,0,18,27,27,3,3,10,15,2,0,1,0,0,0,6,0,0,0,0,0,1,0,0,0,5,5,100,71,0,4,5,0,0,0,2,0,1,0,6,15
