"","game.key","person.key","game.date","team.key","opponent.key","seq","P_GS","P_CG","P_SHO","P_GF","P_W","P_L","P_SV","P_OUT","P_TBF","P_AB","P_R","P_ER","P_H","P_TB","P_2B","P_3B","P_HR","P_HR4","P_BB","P_IBB","P_SO","P_GDP","P_HP","P_SH","P_SF","P_XI","P_WP","P_BK","P_IR","P_IRS","P_GO","P_AO","P_PITCH","P_STRIKE","teamwon","teamscore","oppscore","prevruns","prevwin","prevloss","subruns","subwin","subloss","holdsest","IP","points"
"1","ANA201004050","bakes002",2010-04-05,"MIN","ANA",1,1,0,0,0,0,1,0,14,22,19,4,4,5,8,0,0,1,0,3,0,3,0,0,0,0,0,1,0,0,0,2,9,92,57,0,3,6,0,0,0,2,0,0,0,4.66666666666667,2.33333333333334
"2","ANA201004050","craij001",2010-04-05,"MIN","ANA",2,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,2,21,14,0,3,6,4,0,1,2,0,0,0,1.66666666666667,6.83333333333333
"3","ANA201004050","fuenb001",2010-04-05,"ANA","MIN",4,0,0,0,1,0,0,1,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,10,8,1,6,3,3,1,0,0,0,0,0,1,9.5
"4","ANA201004050","jepsk001",2010-04-05,"ANA","MIN",2,0,0,0,0,0,0,0,3,6,5,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,29,19,1,6,3,3,1,0,0,0,0,1,1,9.5
"5","ANA201004050","mijaj001",2010-04-05,"MIN","ANA",3,0,0,0,0,0,0,0,2,5,5,2,2,3,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,12,0,3,6,4,0,1,0,0,0,0,0.666666666666667,-1.66666666666667
"6","ANA201004050","neshp001",2010-04-05,"MIN","ANA",4,0,0,0,1,0,0,0,3,4,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,10,9,0,3,6,6,0,1,0,0,0,0,1,4.5
"7","ANA201004050","rodnf001",2010-04-05,"ANA","MIN",3,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,10,3,1,6,3,3,1,0,0,0,0,1,1,7.5
"8","ANA201004050","weavj003",2010-04-05,"ANA","MIN",1,1,0,0,0,1,0,0,18,25,22,3,3,5,9,1,0,1,0,2,0,6,0,0,0,1,0,0,0,0,0,7,5,94,57,1,6,3,0,0,0,0,0,0,0,6,13
"9","ANA201004060","blacn001",2010-04-06,"MIN","ANA",1,1,0,0,0,1,0,0,20,30,26,3,3,8,12,1,0,1,0,4,0,4,1,0,0,0,0,0,0,0,0,10,4,103,69,1,5,3,0,0,0,0,0,0,0,6.66666666666667,11.3333333333333
"10","ANA201004060","duenb001",2010-04-06,"MIN","ANA",2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,2,1,5,3,3,1,0,0,0,0,1,0.333333333333333,6.16666666666667
