"","game.key","person.key","game.date","team.key","opponent.key","seq","P_GS","P_CG","P_SHO","P_GF","P_W","P_L","P_SV","P_OUT","P_TBF","P_AB","P_R","P_ER","P_H","P_TB","P_2B","P_3B","P_HR","P_HR4","P_BB","P_IBB","P_SO","P_GDP","P_HP","P_SH","P_SF","P_XI","P_WP","P_BK","P_IR","P_IRS","P_GO","P_AO","P_PITCH","P_STRIKE","teamwon","teamscore","oppscore","holdsest","IP","points"
"1","ANA201904040","allec002",2019-04-04,"ANA","TEX",5,0,0,0,1,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,17,10,0,4,11,0,1,4.5
"2","ANA201904040","bardl001",2019-04-04,"ANA","TEX",2,0,0,0,0,0,0,0,6,8,7,1,1,2,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,1,4,35,23,0,4,11,0,2,4
"3","ANA201904040","bedrc001",2019-04-04,"ANA","TEX",4,0,0,0,0,0,0,0,3,7,6,2,2,3,3,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,32,20,0,4,11,0,1,1.5
"4","ANA201904040","dowdk001",2019-04-04,"TEX","ANA",4,0,0,0,1,0,0,0,6,8,8,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,33,23,1,11,4,0,2,10
"5","ANA201904040","gomej002",2019-04-04,"TEX","ANA",3,0,0,0,0,0,0,0,3,4,4,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,15,10,1,11,4,1,1,8.5
"6","ANA201904040","harvm001",2019-04-04,"ANA","TEX",1,1,0,0,0,0,1,0,12,24,20,8,8,10,18,2,0,2,0,2,0,5,0,2,0,0,0,0,0,0,0,3,2,91,58,0,4,11,0,4,-5
"7","ANA201904040","ramin002",2019-04-04,"ANA","TEX",3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,13,10,0,4,11,0,1,4.5
"8","ANA201904040","sprij001",2019-04-04,"TEX","ANA",2,0,0,0,0,1,0,0,7,12,9,1,1,2,3,1,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,2,2,56,32,1,11,4,0,2.33333333333333,6.16666666666667
"9","ANA201904040","volqe001",2019-04-04,"TEX","ANA",1,1,0,0,0,0,0,0,11,18,14,2,2,4,10,0,0,2,0,4,0,3,1,0,0,0,0,1,0,0,0,2,5,83,45,1,11,4,0,3.66666666666667,1.83333333333333
"10","ANA201904050","allec002",2019-04-05,"ANA","TEX",5,0,0,0,1,0,0,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,7,1,3,1,0,1,8.5
"11","ANA201904050","andej005",2019-04-05,"ANA","TEX",2,0,0,0,0,1,0,0,4,5,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,2,26,12,1,3,1,0,1.33333333333333,4.66666666666667
"12","ANA201904050","buttt001",2019-04-05,"ANA","TEX",4,0,0,0,0,0,0,0,3,4,4,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,15,10,1,3,1,1,1,10.5
"13","ANA201904050","chavj001",2019-04-05,"TEX","ANA",2,0,0,0,1,0,0,0,3,4,4,1,1,1,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,15,10,0,1,3,0,1,3.5
"14","ANA201904050","lynnl001",2019-04-05,"TEX","ANA",1,1,0,0,0,0,1,0,21,26,25,2,2,5,9,1,0,1,0,1,0,5,1,0,0,0,0,0,0,0,0,6,9,105,65,0,1,3,0,7,18.5
"15","ANA201904050","penaf002",2019-04-05,"ANA","TEX",1,1,0,0,0,0,0,0,14,19,17,1,1,4,8,1,0,1,0,2,0,7,1,0,0,0,0,0,0,0,0,2,4,90,58,1,3,1,0,4.66666666666667,13.3333333333333
"16","ANA201904050","roblh001",2019-04-05,"ANA","TEX",3,0,0,0,0,0,0,0,3,4,4,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,14,10,1,3,1,1,1,10.5
"17","ANA201904060","bardl001",2019-04-06,"ANA","TEX",4,0,0,0,1,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19,12,1,5,1,0,1,6.5
"18","ANA201904060","chavj001",2019-04-06,"TEX","ANA",2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,5,0,1,5,0,0.666666666666667,2.33333333333333
"19","ANA201904060","garcl005",2019-04-06,"ANA","TEX",2,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,11,6,1,5,1,1,0.666666666666667,8.33333333333333
"20","ANA201904060","gomej002",2019-04-06,"TEX","ANA",4,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,5,0,1,5,0,0.333333333333333,2.16666666666667
"21","ANA201904060","roblh001",2019-04-06,"ANA","TEX",3,0,0,0,0,0,0,0,3,4,4,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,11,1,5,1,1,1,11.5
"22","ANA201904060","sampa001",2019-04-06,"TEX","ANA",3,0,0,0,0,0,0,0,11,17,14,1,1,4,9,2,0,1,0,2,1,2,0,1,0,0,0,1,0,0,0,4,4,70,38,0,1,5,0,3.66666666666667,10.8333333333333
