"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Yasmani Grandal","White Sox","136","545","453","107","20","1","25","69","71","84","132","3","3","2",".237",".358",".455",".814",".346","5.7","-2.6","5.0","99.5","11368"
"Josh Donaldson","Twins","144","623","520","135","28","1","33","92","96","93","146","6","4","2",".260",".376",".504",".880",".370","2.0","-0.4","4.8","91.3","5038"
"Manny Machado","Padres","157","679","607","164","30","2","36","90","102","63","122","4","7","3",".271",".340",".505",".845",".349","4.5","-0.5","4.3","62.9","11493"
"Bryce Harper","Phillies","152","658","539","139","30","1","39","102","109","108","168","5","13","4",".259",".384",".533",".917",".377","-0.5","0.6","4.1","23.1","11579"
"DJ LeMahieu","Yankees","152","658","596","172","29","2","18","94","75","50","95","4","6","3",".289",".345",".438",".783",".333","5.0","-0.8","3.5","70.0","9874"
"Nelson Cruz","Twins","141","609","535","148","25","0","39","86","115","59","148","11","1","1",".277",".358",".545",".904",".371","0.0","-2.9","2.8","82.6","2434"
"Eduardo Escobar","Diamondbacks","147","637","579","153","32","7","26","79","94","47","123","5","4","2",".264",".321",".476",".797",".330","1.0","0.4","2.5","121.2","6153"
"Michael Brantley","Astros","136","588","532","155","31","2","17","78","78","45","65","5","6","2",".291",".349",".456",".805",".340","-0.1","0.1","2.4","131.6","4106"
"Mike Moustakas","Reds","144","623","562","148","29","1","36","81","101","50","107","6","3","1",".263",".328",".513",".840",".346","-5.8","-1.6","2.3","99.0","4892"
"Andrew McCutchen","Phillies","123","532","453","116","22","2","23","75","68","69","118","5","7","4",".257",".358",".469",".828",".350","-1.1","-1.0","1.9","215.2","9847"
"Jose Iglesias","Orioles","138","595","557","149","31","3","10","62","60","26","73","6","10","5",".267",".305",".384",".689",".293","4.3","-0.4","1.5","556.2","10231"
"Marwin Gonzalez","Twins","112","483","436","116","25","1","16","57","64","37","102","5","3","2",".267",".330",".437",".767",".324","0.6","-0.5","1.4","504.4","5497"
"Wilson Ramos","Mets","107","422","385","105","18","0","14","43","60","32","65","2","1","0",".274",".330",".433",".763",".322","-3.2","-2.4","1.4","176.0","1433"
