"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Jose Ramirez","Indians","155","651","562","163","41","4","28","100","94","77","74","5","25","8",".289",".377",".523",".899",".380","3.8","3.7","6.3","4.3","13510"
"Nolan Arenado","Rockies","155","651","578","166","38","4","36","98","112","62","114","3","3","2",".287",".357",".550",".907",".379","7.0","-0.5","4.9","7.2","9777"
"Kris Bryant","Cubs","155","651","552","151","33","4","28","94","86","76","145","16","6","4",".273",".373",".498",".872",".372","0.7","1.7","5.4","32.3","15429"
"Alex Bregman","Astros","155","651","562","156","39","3","25","95","91","75","88","8","11","5",".278",".369",".494",".863",".370","-1.7","0.7","5.5","14.1","17678"
"Josh Donaldson","Braves","133","560","473","124","26","2","27","80","78","77","121","5","4","1",".262",".369",".493",".861",".369","2.3","0.2","4.4","102.7","5038"
"Justin Turner","Dodgers","153","644","558","161","36","1","21","83","86","63","90","16","5","1",".289",".373",".474",".847",".365","2.2","-0.1","5.2","107.4","5235"
"Anthony Rendon","Nationals","153","644","561","160","40","2","23","87","91","69","98","7","5","2",".285",".366",".485",".851",".364","6.5","1.1","5.3","42.8","12861"
"Matt Carpenter","Cardinals","148","623","515","130","33","2","25","92","74","94","142","7","3","2",".252",".372",".471",".843",".360","-5.3","-0.2","3.8","74.1","8090"
"Manny Machado","Padres","153","644","574","161","32","2","31","85","93","61","104","3","10","3",".280",".349",".507",".856",".360","5.6","0.0","5.2","20.6","11493"
"Eugenio Suarez","Reds","150","630","549","143","26","2","29","82","96","67","150","8","4","2",".261",".348",".477",".826",".353","-0.5","-1.0","3.7","54.9","12552"
"Nicholas Castellanos","Tigers","153","644","587","162","37","5","25","76","90","46","146","5","3","2",".277",".333",".488",".821",".348","-10.5","-0.9","1.9","95.9","11737"
"Mike Moustakas","Brewers","145","609","553","146","29","1","33","75","98","44","100","6","2","1",".264",".322",".497",".820",".346","-2.1","-1.7","3.0","136.6","4892"
"Wilmer Flores","Diamondbacks","144","604","554","156","35","1","23","71","89","37","73","6","2","1",".282",".330",".475",".805",".343","-4.4","-1.6","2.5","417.4","5827"
"Travis Shaw","Brewers","152","637","557","140","30","1","29","80","93","70","136","5","6","2",".251",".337",".465",".802",".342","0.2","-0.2","3.3","97.5","11982"
"Rafael Devers","Red Sox","133","560","512","137","30","1","25","73","82","43","129","1","6","3",".268",".325",".479",".803",".340","-5.1","0.5","2.3","140.0","17350"
"Jung Ho Kang","Pirates","127","535","472","122","25","2","20","63","71","44","121","14","5","3",".258",".336",".446",".782",".339","-0.4","-0.7","2.7","424.0","17182"
"Matt Chapman","Athletics","155","651","578","141","34","4","30","88","86","62","178","7","4","3",".243",".321",".471",".792",".339","12.2","0.9","5.1","110.9","16505"
"Miguel Andujar","Yankees","142","595","555","154","36","2","24","74","86","29","95","5","3","2",".278",".317",".477",".794",".338","-7.3","0.2","1.8","82.1","15878"
"Miguel Sano","Twins","123","518","451","104","21","1","26","66","75","60","186","3","1","0",".231",".324",".458",".782",".335","-2.8","-1.0","2.1","307.8","12164"
"Jake Lamb","Diamondbacks","142","595","514","124","27","4","22","74","82","71","157","5","5","3",".241",".336",".440",".776",".333","2.8","0.5","1.8","284.9","13329"
"Ryan McMahon","Rockies","139","583","529","142","31","4","18","67","73","45","155","4","7","3",".269",".328",".445",".772",".331","0.0","0.5","1.4","364.5","15112"
"Maikel Franco","Phillies","140","590","542","142","27","1","26","68","89","40","90","3","1","0",".262",".314",".462",".775",".328","-4.6","-0.9","2.0","275.2","12179"
"Eduardo Escobar","Diamondbacks","148","623","565","147","37","5","21","72","81","47","123","5","3","3",".260",".319",".451",".771",".327","1.4","-0.2","2.6","182.4","6153"
"Derek Dietrich","Reds","34","142","126","31","7","1","5","16","16","10","35","5","0","0",".250",".328",".430",".758",".327","-0.9","0.0","0.3","582.0","10542"
"Brian Anderson","Marlins","153","644","569","148","30","4","15","75","68","58","132","12","3","2",".261",".339",".404",".743",".325","2.9","-0.2","3.2","313.7","18289"
"Jedd Gyorko","Cardinals","61","256","228","57","10","1","9","28","33","24","54","1","1","1",".251",".323",".423",".746",".323","0.1","-0.6","1.0","593.6","10816"
"Jurickson Profar","Athletics","147","616","545","137","31","4","15","76","66","55","95","10","8","2",".251",".329",".408",".737",".322","-1.9","1.1","2.6","131.1","10815"
"Johan Camargo","Braves","95","398","360","94","21","2","11","44","48","31","82","3","1","1",".261",".322",".424",".746",".321","0.6","-0.3","1.5","476.7","14950"
"Yandy Diaz","Rays","107","448","386","103","16","2","4","49","36","55","90","2","3","2",".267",".359",".353",".711",".318","0.5","-0.5","1.0","522.9","16578"
