"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Yasmani Grandal","Brewers","114","480","407","97","19","1","23","57","67","67","122","2","2","2",".238",".347",".458",".804",".348","0.9","-2.4","4.7","115.4","11368"
"Gary Sanchez","Yankees","129","543","482","118","23","0","31","76","91","51","134","6","3","1",".245",".323",".491",".813",".347","-3.8","-0.3","3.6","54.3","11442"
"J.T. Realmuto","Phillies","130","544","495","135","29","3","22","70","78","36","111","8","5","2",".273",".330",".480",".810",".345","2.2","0.9","4.3","43.7","11739"
"Buster Posey","Giants","123","515","454","131","26","1","10","57","57","52","62","5","4","1",".288",".364",".417",".781",".338","7.2","-1.3","4.7","145.5","9166"
"Willson Contreras","Cubs","114","480","421","108","23","3","14","53","59","47","106","8","4","2",".256",".339",".421",".760",".331","-0.2","-1.6","1.8","131.6","11609"
"Chris Iannetta","Rockies","76","320","272","64","14","0","11","34","37","40","81","4","0","0",".236",".341",".411",".752",".328","-1.8","-1.0","1.0","459.5","8267"
"Willians Astudillo","Twins","42","176","166","47","9","1","6","19","22","5","10","3","2","1",".286",".314",".451",".764",".327","0.5","-0.2","0.8","279.6","15608"
"Francisco Cervelli","Pirates","110","462","392","100","17","2","9","47","49","54","98","11","3","3",".254",".357",".377",".734",".326","-2.1","-1.2","2.1","263.2","5275"
"Danny Jansen","Blue Jays","107","448","392","98","23","1","12","52","50","41","73","10","4","1",".250",".333",".404",".737",".323","-2.0","0.4","2.8","175.3","16535"
"Evan Gattis","","83","350","319","77","15","1","17","39","56","24","77","3","1","1",".242",".298",".455",".753",".320","0.0","-0.9","0.2","594.9","11003"
"Kurt Suzuki","Nationals","73","307","278","73","16","0","9","33","41","17","40","8","0","0",".263",".322",".415",".736",".319","-1.3","-0.9","0.8","339.4","8259"
"Tyler Flowers","Braves","87","367","319","77","15","0","10","35","41","33","96","12","1","0",".241",".332",".382",".714",".316","-1.9","-0.7","2.8","521.0","9134"
"Wilson Ramos","Mets","91","384","355","92","16","0","14","38","54","25","70","1","0","0",".260",".307",".429",".736",".315","0.0","-2.2","1.7","128.6","1433"
"Victor Caratini","Cubs","44","183","164","42","9","1","4","20","20","15","37","2","0","0",".259",".326",".395",".722",".315","-1.0","0.0","0.6","595.9","14968"
"Yadier Molina","Cardinals","118","495","455","121","23","1","13","50","63","28","67","6","5","3",".266",".314",".407",".720",".311","5.1","-2.5","2.8","143.6","7007"
"Russell Martin","Dodgers","53","224","190","41","7","0","7","25","24","28","56","4","1","1",".216",".327",".369",".696",".310","0.7","-1.0","1.4","574.7","4616"
"Alex Avila","Diamondbacks","84","353","292","61","11","0","10","33","34","56","126","2","1","0",".207",".337",".354",".692",".310","0.5","-1.1","1.2","600.8","7476"
"Austin Barnes","Dodgers","91","384","329","78","16","1","7","44","38","45","84","6","8","2",".237",".338",".357",".695",".308","0.6","0.2","3.1","323.4","12158"
"Brian McCann","Braves","61","256","225","52","7","1","9","28","32","24","48","5","0","1",".230",".314",".388",".702",".307","-1.0","-1.0","0.8","551.4","4810"
"Stephen Vogt","Giants","8","32","29","7","2","0","1","3","4","3","6","0","0","0",".245",".309",".400",".709",".306","-0.4","-0.1","0.1","600.0","5000"
"Tucker Barnhart","Reds","114","480","423","106","22","2","9","44","48","47","87","3","2","2",".250",".327",".377",".704",".306","5.9","-1.8","1.3","265.8","10200"
"Mitch Garver","Twins","41","174","155","37","9","1","4","19","20","16","42","1","1","0",".241",".314",".386",".700",".305","-0.8","-0.1","0.3","509.5","15161"
"Omar Narvaez","Mariners","107","448","394","99","16","1","8","42","37","46","80","2","1","1",".251",".331",".358",".689",".305","-5.9","-0.9","0.6","272.4","13338"
"Kevin Plawecki","Indians","76","320","283","69","14","1","8","34","37","27","66","6","1","1",".243",".318",".383",".701",".305","-0.5","-0.7","0.8","588.6","13807"
"Carson Kelly","Diamondbacks","53","224","198","48","10","1","5","23","22","21","38","2","0","0",".244",".323",".372",".694",".305","1.0","-0.1","0.9","522.5","13620"
"Elias Diaz","Pirates","38","160","148","39","8","0","3","16","18","10","27","1","1","0",".262",".310",".389",".698",".304","0.2","-0.2","0.5","477.0","11680"
"Travis d'Arnaud","Mets","50","211","192","46","9","1","7","21","25","15","39","2","0","0",".240",".299",".403",".702",".302","-0.6","-0.3","1.2","593.8","7739"
"Robinson Chirinos","Astros","91","384","331","67","13","1","15","43","47","37","127","12","1","0",".202",".302",".380",".682",".301","-0.2","-1.0","0.7","237.9","3142"
"Curt Casali","Reds","3","13","11","3","1","0","0","1","1","1","3","0","0","0",".234",".308",".381",".688",".300","-0.1","0.0","0.0","600.2","12510"
"Yan Gomes","Nationals","73","307","282","68","15","0","10","32","38","17","81","5","0","0",".240",".292",".404",".696",".300","2.0","-0.2","1.3","216.5","9627"
"Welington Castillo","White Sox","99","416","382","91","16","0","15","42","49","27","114","4","1","0",".239",".292",".402",".694",".300","0.1","-1.1","1.2","210.5","3256"
"Tom Murphy","Rockies","15","64","59","13","3","0","2","7","9","4","22","1","1","0",".226",".277",".425",".702",".300","-0.4","0.0","0.0","592.8","13499"
"Manny Pina","Brewers","35","147","134","33","7","1","4","15","16","9","29","2","1","0",".249",".305",".387",".692",".299","1.8","-0.2","0.7","572.4","2829"
"Devin Mesoraco","Mets","8","32","28","6","1","0","1","3","3","3","7","1","0","0",".217",".301",".385",".686",".298","-0.4","0.0","0.0","599.2","5666"
"Keibert Ruiz","Dodgers","6","26","24","6","1","0","1","3","3","1","3","0","0","0",".258",".304",".383",".687",".298","0.1","0.0","0.1","600.2","sa872528"
"Andrew Knizner","Cardinals","8","32","29","8","1","0","1","3","3","2","5","0","0","0",".261",".312",".371",".682",".298","0.1","0.0","0.1","600.0","sa857827"
"Francisco Mejia","Padres","80","337","311","77","16","1","9","34","35","18","66","4","1","1",".249",".295",".396",".691",".298","0.6","0.1","1.0","243.3","16403"
"Mike Zunino","Rays","107","448","403","84","18","0","21","47","57","34","156","8","1","0",".208",".279",".408",".688",".298","0.6","-0.6","2.2","235.0","13265"
"Chance Sisco","Orioles","46","192","170","40","8","0","4","19","18","15","56","5","1","0",".237",".315",".354",".669",".296","-0.8","-0.1","0.4","482.0","15694"
"Isiah Kiner-Falefa","Rangers","45","191","172","44","8","1","2","20","16","14","30","3","4","2",".258",".321",".348",".668",".296","-0.6","-0.2","0.0","290.8","16512"
"Jonathan Lucroy","Angels","91","384","347","87","17","1","7","39","40","28","59","4","1","0",".250",".311",".366",".677",".295","0.3","-1.0","1.0","315.8","7870"
"Max Stassi","Astros","53","224","198","42","9","0","8","25","26","20","67","4","1","0",".213",".295",".374",".669",".294","-0.7","-0.1","1.5","579.5","10059"
"Tony Wolters","Rockies","61","256","223","52","9","3","3","26","26","27","53","4","2","1",".233",".323",".346",".669",".294","2.7","0.1","0.9","601.0","11470"
"Austin Allen","Padres","3","13","12","3","1","0","0","1","1","1","3","0","0","0",".238",".290",".390",".680",".293","-0.1","0.0","0.0","999.0","sa875025"
"Kevan Smith","Angels","46","192","177","46","8","0","4","19","20","10","31","3","0","0",".258",".305",".365",".670",".293","-1.9","-0.3","0.5","597.2","12284"
"Zack Collins","White Sox","3","13","11","2","0","0","0","1","1","2","5","0","0","0",".190",".311",".342",".653",".293","-0.1","0.0","0.0","600.5","sa738390"
"Austin Hedges","Padres","73","307","283","65","13","1","12","30","39","18","82","2","2","1",".228",".277",".410",".687",".292","2.6","-0.1","2.1","319.8","12976"
"Matt Wieters","Cardinals","30","128","114","27","5","0","3","12","14","11","25","1","0","0",".234",".304",".365",".669",".292","0.1","-0.3","0.2","589.3","4298"
"Erik Kratz","Giants","18","77","70","17","3","0","2","7","8","4","17","1","1","0",".236",".292",".377",".668",".292","0.5","-0.1","0.4","999.0","4403"
"John Hicks","Tigers","79","333","309","75","15","1","9","35","36","19","87","2","3","1",".243",".288",".381",".669",".290","-0.1","-0.4","-0.4","384.7","12547"
"Jason Castro","Twins","99","416","363","77","18","1","10","43","39","45","125","3","1","0",".213",".304",".351",".655",".290","4.3","-0.7","2.0","586.9","8722"
"Christian Vazquez","Red Sox","61","256","237","61","13","1","4","28","23","14","45","3","4","1",".256",".303",".361",".664",".290","0.4","-0.2","1.2","557.7","9774"
"Spencer Kieboom","Nationals","3","13","11","3","1","0","0","1","1","1","2","0","0","0",".234",".309",".338",".648",".288","0.0","0.0","0.0","600.6","13300"
"Andrew Knapp","Phillies","23","96","84","18","4","1","2","10","9","10","30","1","0","0",".217",".304",".351",".655",".288","-0.7","0.0","0.1","600.2","14942"
"Chris Herrmann","Athletics","23","96","83","17","3","1","2","11","10","11","26","0","1","0",".208",".303",".347",".650",".288","0.1","0.2","0.3","597.5","9284"
"Taylor Davis","Cubs","3","13","12","3","1","0","0","1","1","1","2","0","0","0",".244",".304",".348",".652",".287","-0.1","0.0","0.0","999.0","12782"
"Nick Hundley","Athletics","30","128","118","27","6","1","4","13","14","8","35","1","1","0",".229",".279",".389",".668",".287","-1.9","-0.3","-0.1","591.3","3376"
"Andrew Susac","Orioles","3","13","11","2","0","0","0","1","1","1","4","0","0","0",".206",".292",".362",".654",".286","-0.1","0.0","0.0","999.0","13132"
"Austin Romine","Yankees","30","128","117","28","6","0","3","13","16","8","30","1","1","0",".235",".284",".373",".657",".285","0.1","-0.1","0.4","574.1","5491"
"Josh Phegley","Athletics","91","384","348","77","21","2","9","40","40","26","89","5","1","0",".221",".283",".373",".656",".285","-1.1","-0.4","0.7","597.5","9308"
"David Freitas","Mariners","41","173","157","37","8","0","3","17","15","12","36","2","0","0",".238",".296",".350",".646",".284","-0.6","-0.1","0.5","999.0","10619"
"Raudy Read","Nationals","3","13","12","3","1","0","0","1","1","1","3","0","0","0",".242",".284",".371",".656",".284","-0.1","0.0","0.0","999.0","15766"
"Reese McGuire","Blue Jays","23","96","86","20","4","0","2","10","9","7","21","1","1","1",".227",".292",".353",".646",".284","0.1","-0.1","0.3","600.6","15674"
"Carlos Perez","Orioles","3","13","12","3","1","0","0","1","1","1","3","0","0","0",".230",".282",".366",".648",".282","0.0","0.0","0.0","999.0","10642"
"Kyle Higashioka","Yankees","8","32","29","6","1","0","1","3","4","2","7","0","0","0",".218",".273",".379",".652",".281","-0.2","0.0","0.1","999.0","5517"
"Garrett Stubbs","Astros","8","32","29","7","1","0","0","3","3","3","6","0","0","0",".232",".302",".333",".636",".281","0.2","0.0","0.1","999.0","sa827172"
"Grayson Greiner","Tigers","114","480","431","95","20","2","10","46","47","41","125","2","1","0",".221",".291",".348",".638",".281","2.4","0.2","1.3","562.8","17062"
"Austin Wynns","Orioles","9","38","35","8","1","0","1","4","4","3","9","0","0","0",".236",".290",".349",".639",".281","0.1","0.0","0.1","600.4","15271"
"Roberto Perez","Indians","69","288","247","50","12","1","6","28","31","32","87","2","2","0",".202",".294",".335",".630",".280","2.6","-0.3","1.4","596.4","2900"
"Seby Zavala","White Sox","5","19","18","4","1","0","1","2","2","1","6","0","0","0",".221",".277",".364",".641",".279","-0.1","0.0","0.0","999.0","sa875572"
"James McCann","White Sox","46","192","176","40","7","0","5","17","19","12","52","2","0","1",".230",".285",".352",".637",".279","1.3","-0.7","0.3","575.8","12859"
"Jacob Stallings","Pirates","8","32","30","7","2","0","0","3","3","2","7","0","0","0",".245",".289",".352",".641",".279","0.2","0.0","0.1","999.0","13723"
"Blake Swihart","Red Sox","62","262","237","54","11","1","4","29","24","21","70","1","4","1",".229",".294",".337",".630",".279","-0.6","0.4","0.2","573.4","13176"
"Jacob Nottingham","Padres","3","13","12","2","0","0","0","1","1","1","4","0","0","0",".207",".277",".359",".636",".278","0.0","0.0","0.0","600.9","16448"
"Martin Maldonado","Royals","107","448","405","89","18","1","11","41","45","25","109","12","1","1",".221",".283",".350",".633",".278","4.5","-1.0","2.1","550.9","6887"
"Cam Gallagher","Royals","23","96","87","21","4","0","1","9","9","6","15","1","0","0",".238",".292",".338",".631",".277","0.5","0.0","0.4","597.4","12981"
"Meibrys Viloria","Royals","18","77","71","16","3","0","1","7","7","5","17","1","0","0",".234",".286",".344",".630",".277","0.5","0.0","0.2","999.0","17109"
"Pedro Severino","Orioles","46","192","176","41","7","1","4","18","19","12","38","2","1","1",".232",".285",".352",".638",".277","0.6","0.0","0.4","999.0","14523"
