"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"J.D. Martinez","Red Sox","155","651","576","169","35","2","39","98","117","66","163","4","4","2",".293",".366",".565",".931",".389","-0.1","-1.8","4.0","6.0","6184"
"Nelson Cruz","Twins","147","616","541","148","24","1","35","82","110","58","132","12","1","0",".274",".355",".517",".872",".369","0.0","-2.4","2.8","96.3","2434"
"Shohei Ohtani","Angels","125","525","464","126","26","2","28","77","87","54","149","3","12","4",".271",".348",".516",".864",".367","0.0","0.7","2.9","204.3","19755"
"Khris Davis","Athletics","157","658","580","141","27","1","41","89","112","63","188","9","1","1",".243",".324",".508",".831",".351","0.0","-1.6","2.4","44.8","9112"
"Edwin Encarnacion","Mariners","145","609","521","123","20","1","30","77","92","75","141","6","2","0",".236",".336",".453",".789",".340","0.0","-2.3","1.8","138.2","2151"
"Shin-Soo Choo","Rangers","148","623","529","134","24","1","20","82","64","78","145","10","7","3",".252",".356",".414",".770",".338","0.0","-0.3","1.0","290.5","3174"
"Daniel Vogelbach","Mariners","27","112","96","24","4","0","4","14","14","15","25","1","0","0",".248",".350",".424",".774",".338","0.0","-0.1","0.4","590.6","14130"
"Corey Dickerson","Pirates","142","595","557","156","36","5","20","71","73","30","112","4","6","3",".279",".319",".471",".790",".334","3.3","-0.7","2.3","202.0","10762"
"Kendrys Morales","Blue Jays","150","630","563","140","26","0","27","71","87","55","135","5","2","1",".249",".320",".441",".760",".326","0.0","-3.8","0.6","555.7","8610"
"Ji-Man Choi","Rays","100","420","362","86","19","1","14","46","49","50","110","3","3","2",".237",".331",".410",".742",".323","-0.1","-0.4","0.7","560.7","5452"
"Tyler Austin","Twins","17","70","63","15","3","0","3","8","10","6","23","0","0","0",".235",".302",".451",".753",".322","0.0","0.0","0.1","593.3","11850"
"Hanley Ramirez","Indians","7","28","25","6","1","0","1","3","4","2","6","0","0","0",".247",".319",".429",".748",".321","0.0","-0.1","0.0","580.9","8001"
"Robbie Grossman","Athletics","62","259","221","55","13","1","5","29","25","34","51","1","1","1",".248",".349",".372",".721",".321","-2.6","-0.4","0.4","592.0","5254"
"Evan Gattis","","83","350","319","77","15","1","17","39","56","24","77","3","1","1",".242",".298",".455",".753",".320","0.0","-0.9","0.2","594.9","11003"
"Mark Trumbo","Orioles","145","609","560","136","23","1","30","72","82","43","154","2","1","0",".243",".298",".447",".745",".320","0.0","-1.1","0.5","554.1","6876"
"Matt Holliday","","50","210","183","44","9","0","7","23","25","23","51","2","0","0",".241",".328",".401",".729",".318","-3.8","-0.6","0.0","999.0","1873"
"Yandy Diaz","Rays","107","448","386","103","16","2","4","49","36","55","90","2","3","2",".267",".359",".353",".711",".318","0.5","-0.5","1.0","522.9","16578"
"Ryan O'Hearn","Royals","138","581","516","119","28","3","21","65","70","56","156","4","2","0",".231",".308",".418",".726",".314","-1.5","-0.1","0.4","442.7","16442"
"Daniel Palka","White Sox","103","434","395","89","14","2","22","52","59","33","145","2","4","2",".226",".288",".442",".730",".310","-3.4","-0.4","0.3","366.5","14897"
"Matt Davidson","Rangers","20","84","75","17","3","0","4","9","12","7","28","1","0","0",".223",".300",".415",".715",".310","-0.1","-0.1","0.0","598.7","7226"
"Preston Tucker","White Sox","10","42","38","9","2","0","2","5","5","3","10","0","0","0",".227",".291",".404",".696",".300","-0.5","0.0","0.0","999.0","13633"
"Francisco Mejia","Padres","80","337","311","77","16","1","9","34","35","18","66","4","1","1",".249",".295",".396",".691",".298","0.6","0.1","1.0","243.3","16403"
"Albert Pujols","Angels","97","406","377","93","14","0","14","41","56","24","59","2","1","0",".246",".292",".399",".690",".296","-0.1","-2.1","-0.2","544.9","1177"
"Jose Rondon","White Sox","35","147","137","33","6","1","4","15","16","7","36","1","2","2",".239",".280",".388",".668",".288","0.6","-0.2","0.3","999.0","14140"
"Dalton Pompey","Blue Jays","3","14","13","3","1","0","0","2","1","1","4","0","0","0",".229",".298",".351",".648",".286","0.1","0.0","0.0","600.6","12797"
"Victor Reyes","Tigers","38","161","152","38","6","2","2","17","13","6","31","1","5","2",".252",".283",".343",".626",".272","0.1","0.2","-0.1","600.5","15487"
"Terrance Gore","Royals","2","7","6","1","0","0","0","1","0","0","2","0","1","0",".208",".270",".251",".521",".237","-0.1","0.1","0.0","599.5","13658"
