"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Francisco Lindor","Indians","145","609","539","155","33","3","26","93","80","56","84","5","18","7",".288",".357",".506",".863",".366","10.4","1.0","6.1","16.4","12916"
"Manny Machado","Padres","153","644","574","161","32","2","31","85","93","61","104","3","10","3",".280",".349",".507",".856",".360","5.6","0.0","5.2","20.6","11493"
"Trevor Story","Rockies","153","644","582","155","36","5","34","88","104","52","184","6","20","6",".267",".330",".519",".849",".358","0.0","1.8","3.8","16.5","12564"
"Corey Seager","Dodgers","152","637","567","160","36","3","21","87","83","58","121","6","4","1",".282",".352",".468",".821",".351","3.4","1.3","5.2","88.9","13624"
"Xander Bogaerts","Red Sox","153","644","576","164","37","3","20","88","89","57","114","6","10","3",".285",".353",".463",".816",".350","-2.6","1.9","4.2","48.0","12161"
"Carlos Correa","Astros","153","644","559","147","31","2","25","87","99","74","140","4","6","1",".264",".351",".461",".812",".348","-2.1","1.1","4.7","48.9","14162"
"Javier Baez","Cubs","152","637","592","161","31","5","31","86","99","33","165","6","18","7",".272",".316",".501",".817",".342","0.2","2.0","3.9","18.4","12979"
"Trea Turner","Nationals","153","644","580","163","30","7","17","92","68","53","120","4","41","10",".281",".343",".446",".789",".340","2.0","5.3","4.4","6.9","16252"
"Asdrubal Cabrera","Rangers","147","616","558","154","35","2","20","75","78","47","112","5","2","1",".275",".334",".452",".787",".338","-5.8","-1.4","2.1","222.4","4962"
"Ketel Marte","Diamondbacks","118","497","447","125","25","7","10","61","49","42","69","2","8","3",".279",".341",".431",".772",".332","-0.4","0.5","2.2","226.9","13613"
"Garrett Hampson","Rockies","66","278","249","71","12","3","4","34","25","23","46","1","15","4",".286",".347",".413",".760",".331","1.0","1.4","1.0","173.0","19262"
"Didi Gregorius","Yankees","70","294","269","72","13","1","11","37","41","18","38","3","4","2",".270",".320",".453",".773",".330","0.9","0.5","1.7","436.1","6012"
"Eduardo Escobar","Diamondbacks","148","623","565","147","37","5","21","72","81","47","123","5","3","3",".260",".319",".451",".771",".327","1.4","-0.2","2.6","182.4","6153"
"Jean Segura","Phillies","152","637","590","169","30","3","14","83","62","33","83","7","21","9",".287",".330",".419",".749",".324","-5.1","0.8","2.5","61.6","5933"
"Paul DeJong","Cardinals","143","602","548","137","29","2","25","72","83","39","157","9","2","2",".250",".308",".443",".752",".322","1.1","-0.1","2.9","180.6","18015"
"Jurickson Profar","Athletics","147","616","545","137","31","4","15","76","66","55","95","10","8","2",".251",".329",".408",".737",".322","-1.9","1.1","2.6","131.1","10815"
"Jorge Polanco","Twins","147","616","558","149","30","5","13","73","69","46","105","3","14","7",".268",".324",".411",".735",".319","-5.3","0.2","2.1","223.9","13152"
"Chris Taylor","Dodgers","100","420","375","93","22","4","10","52","43","37","111","4","9","4",".248",".320",".410",".730",".318","-0.5","1.1","1.5","240.9","13757"
"Adalberto Mondesi","Royals","155","651","604","155","30","7","24","83","78","30","164","4","50","12",".257",".294",".449",".743",".316","2.7","6.0","3.6","38.4","13769"
"Daniel Robertson","Rays","90","378","324","78","15","1","8","42","35","41","89","9","2","2",".240",".338",".370",".708",".315","1.9","-0.2","1.7","578.4","14145"
"Andrelton Simmons","Angels","155","651","598","166","30","3","11","72","70","41","57","4","11","4",".277",".326",".396",".722",".314","14.8","0.3","4.5","251.3","10847"
"Marcus Semien","Athletics","153","644","579","145","31","2","18","77","69","56","130","2","12","4",".250",".315",".407",".722",".313","-4.7","1.0","2.5","238.5","12533"
"Elvis Andrus","Rangers","150","630","575","155","33","4","11","74","63","43","93","4","14","7",".269",".322",".399",".720",".313","-3.2","1.0","1.8","183.7","8709"
"Zack Cozart","Angels","145","609","544","134","27","4","17","75","62","51","101","6","3","1",".246",".315",".407",".722",".313","5.8","-0.3","2.9","563.0","2616"
"Aledmys Diaz","Astros","32","133","123","32","7","0","4","16","16","8","20","1","1","1",".258",".305",".422",".727",".312","-0.8","-0.3","0.4","557.6","15937"
"Brandon Crawford","Giants","152","637","571","145","33","4","15","64","72","52","129","6","5","4",".255",".321",".406",".728",".310","6.7","-0.4","3.1","547.7","5343"
"Franklin Barreto","Athletics","50","210","191","45","8","1","9","25","26","13","66","3","4","2",".236",".295",".427",".722",".310","0.6","0.2","0.7","568.5","15519"
"Jose Peraza","Reds","143","602","558","156","24","5","11","68","56","27","72","7","23","8",".280",".319",".396",".715",".309","-2.2","2.0","1.8","95.7","13593"
"Jonathan Villar","Orioles","158","665","597","148","26","2","18","78","62","57","178","4","42","12",".248",".316",".387",".703",".307","-5.0","3.3","1.8","76.9","10071"
"Carter Kieboom","Nationals","3","14","13","3","1","0","0","2","1","1","3","0","0","0",".250",".313",".391",".704",".307","0.0","0.0","0.0","595.7","sa917937"
"Addison Russell","Cubs","88","371","331","81","18","1","9","40","42","32","82","4","3","1",".244",".316",".390",".706",".306","4.6","0.5","1.7","583.2","14106"
"Troy Tulowitzki","Yankees","75","315","287","70","11","0","11","34","40","23","64","3","1","0",".243",".302",".398",".700",".303","-0.1","-0.7","0.9","517.2","3531"
"Willy Adames","Rays","148","623","556","137","21","4","13","69","61","57","159","3","10","6",".247",".319",".373",".692",".302","-3.8","0.1","1.8","264.4","15986"
"Lourdes Gurriel Jr.","Blue Jays","75","315","294","75","14","1","10","36","36","14","65","3","4","2",".257",".295",".409",".704",".302","-2.7","-0.2","0.7","278.5","19238"
"Yairo Munoz","Cardinals","62","261","240","61","12","1","6","28","30","17","53","2","5","3",".256",".308",".391",".699",".301","-1.7","-0.2","0.3","552.6","16313"
"Amed Rosario","Mets","152","637","593","157","27","9","11","71","60","32","121","4","25","10",".264",".304",".396",".700",".301","-0.8","1.7","2.2","143.4","15518"
"Dansby Swanson","Braves","125","525","467","115","25","4","12","54","56","49","115","2","8","3",".245",".318",".388",".706",".300","2.6","1.0","1.7","517.0","18314"
"Max Moroff","Indians","48","203","173","37","8","1","5","23","23","26","60","1","3","1",".213",".319",".352",".670",".298","0.2","0.1","0.4","999.0","14556"
"Fernando Tatis Jr.","Padres","75","315","285","65","12","2","10","36","35","24","97","3","9","4",".227",".293",".397",".689",".298","-0.4","0.1","0.9","272.7","sa919910"
"Nick Ahmed","Diamondbacks","148","622","568","137","31","5","16","65","67","42","123","4","7","5",".242",".296",".398",".694",".298","6.4","-0.3","2.0","560.3","12147"
"J.P. Crawford","Mariners","117","490","425","95","17","4","9","51","45","54","115","5","6","3",".225",".318",".347",".665",".297","-0.5","0.1","1.6","586.8","15491"
"Ronny Rodriguez","Tigers","20","84","79","20","4","1","2","9","9","3","17","0","2","1",".256",".287",".404",".691",".297","-0.5","-0.1","0.1","999.0","11875"
"Domingo Leyba","Diamondbacks","2","7","6","2","0","0","0","1","1","0","1","0","0","0",".250",".307",".370",".677",".297","0.0","0.0","0.0","999.0","sa736654"
"Jose Iglesias","Reds","52","217","201","53","12","1","2","22","21","11","26","3","5","2",".263",".307",".370",".677",".296","2.0","0.0","0.6","596.7","10231"
"Tim Anderson","White Sox","148","623","588","148","27","4","17","72","63","25","158","4","23","7",".253",".286",".400",".685",".294","-3.2","2.0","1.6","137.9","15172"
"Tim Beckham","Mariners","58","245","224","53","10","1","7","25","26","16","67","2","2","1",".236",".291",".386",".677",".294","-2.4","-0.3","0.4","520.0","7949"
"Jordy Mercer","Tigers","117","490","440","109","23","2","9","49","48","39","87","5","2","1",".248",".314",".373",".687",".294","-3.3","0.1","0.9","594.7","6547"
"Ryan Mountcastle","Orioles","2","7","7","2","0","0","0","1","1","0","1","0","0","0",".252",".285",".399",".684",".294","0.0","0.0","0.0","597.4","sa874734"
"Pat Valaika","Rockies","27","114","106","25","6","0","4","12","13","6","28","0","1","1",".238",".278",".403",".681",".292","0.3","0.0","0.0","999.0","14885"
"Ehire Adrianza","Twins","23","98","88","22","5","0","2","11","10","7","20","1","2","1",".248",".306",".364",".670",".292","-0.2","0.1","0.2","600.9","8418"
"Miguel Rojas","Marlins","64","268","245","64","11","1","4","25","25","15","33","4","3","1",".261",".310",".360",".670",".292","1.4","-0.5","0.7","589.8","7802"
"Freddy Galvis","Blue Jays","100","420","386","96","19","3","8","43","43","26","86","2","7","3",".247",".296",".378",".674",".292","1.3","0.4","1.1","578.0","6609"
"Tzu-Wei Lin","Red Sox","3","14","13","3","1","0","0","2","1","1","3","0","0","0",".250",".307",".359",".665",".291","0.0","0.0","0.0","999.0","14678"
"Jose Reyes","","33","140","127","30","6","1","3","16","13","11","22","0","4","1",".238",".299",".370",".669",".291","-1.0","0.3","0.1","999.0","1736"
"Kevin Newman","Pirates","58","245","226","60","12","1","2","24","21","14","32","2","7","3",".264",".309",".354",".663",".289","0.6","0.2","0.5","599.2","17696"
"Wilmer Difo","Nationals","42","177","161","40","7","2","3","19","16","13","34","1","5","1",".249",".306",".362",".668",".289","0.9","0.4","0.3","597.8","14320"
"Orlando Arcia","Brewers","133","560","517","129","24","2","11","55","53","34","114","3","13","6",".250",".298",".368",".667",".288","0.8","0.4","0.9","534.6","13185"
"Jose Rondon","White Sox","35","147","137","33","6","1","4","15","16","7","36","1","2","2",".239",".280",".388",".668",".288","0.6","-0.2","0.3","999.0","14140"
"Hanser Alberto","Orioles","30","126","120","32","6","1","2","12","12","3","14","1","1","1",".269",".291",".378",".669",".288","0.9","-0.3","0.3","999.0","11902"
"Scott Kingery","Phillies","81","342","316","76","16","2","8","37","33","19","81","3","9","3",".240",".287",".377",".664",".287","0.4","1.1","0.4","501.5","17975"
"Chris Owings","Royals","97","406","376","93","22","3","7","43","38","23","90","3","13","4",".247",".292",".372",".664",".286","-2.0","0.9","0.3","587.0","10030"
"Mauricio Dubon","Padres","12","49","45","11","2","0","1","5","5","3","9","0","2","1",".250",".292",".364",".655",".285","0.1","0.0","0.1","600.9","sa738378"
"J.T. Riddle","Marlins","117","490","454","112","19","4","10","45","50","28","96","1","4","3",".247",".290",".371",".660",".285","1.9","-0.6","1.1","599.9","17642"
"Ronald Torreyes","Twins","8","35","33","9","2","0","0","3","3","1","5","0","0","0",".267",".300",".349",".649",".283","0.1","0.0","0.0","999.0","11400"
"Oscar Mercado","Indians","12","49","45","11","2","0","1","5","4","3","10","1","2","1",".240",".299",".342",".641",".282","0.0","0.0","0.0","598.0","sa737612"
"Tyler Saladino","Padres","20","86","78","18","3","1","2","9","8","6","20","1","2","1",".229",".292",".348",".641",".282","0.1","0.2","0.0","999.0","10807"
"Abiatal Avelino","Giants","5","21","20","5","1","0","0","2","2","1","4","0","1","0",".242",".285",".361",".646",".280","0.0","0.0","0.0","999.0","15496"
"Nick Gordon","Twins","5","21","19","5","1","0","0","2","2","1","4","0","1","0",".247",".293",".349",".642",".280","0.1","0.0","0.0","600.7","sa828662"
"Charlie Culberson","Braves","39","165","153","36","7","1","4","17","17","9","39","1","2","1",".238",".285",".367",".652",".280","0.6","0.0","0.0","593.1","3298"
"Yu Chang","Indians","2","7","6","1","0","0","0","1","1","1","2","0","0","0",".217",".283",".357",".640",".280","0.0","0.0","0.0","601.0","sa830276"
"Cole Tucker","Pirates","8","35","32","7","1","0","0","3","3","3","7","0","2","1",".236",".299",".335",".634",".279","0.1","0.0","0.0","600.8","sa828671"
"Richie Martin","Orioles","88","371","337","79","14","3","4","35","28","24","75","5","11","5",".235",".295",".333",".628",".277","1.5","0.0","0.5","590.2","sa659080"
"Drew Jackson","Orioles","78","329","292","63","12","1","6","34","27","26","86","6","11","5",".217",".294",".328",".622",".277","0.7","0.3","0.3","999.0","sa659066"
"Willi Castro","Tigers","8","35","33","8","1","0","1","3","3","2","8","0","1","0",".241",".281",".353",".634",".276","0.0","0.0","0.0","999.0","sa830274"
"Adeiny Hechavarria","Mets","12","50","46","12","2","0","1","5","5","3","9","0","0","0",".248",".288",".347",".635",".275","0.2","0.0","0.1","999.0","10459"
"Zach Vincej","Orioles","5","21","19","4","1","0","0","2","2","1","4","0","0","0",".233",".286",".323",".610",".270","-0.1","0.0","0.0","999.0","13269"
"Alcides Escobar","","7","28","26","6","1","0","0","3","2","1","4","0","0","0",".244",".282",".333",".615",".268","0.0","0.0","0.0","599.9","6310"
"Richard Urena","Blue Jays","20","84","79","18","4","0","1","8","8","4","19","0","1","1",".232",".268",".343",".610",".264","0.2","0.0","0.0","999.0","16411"
"Jack Reinheimer","Orioles","3","14","13","3","0","0","0","1","1","1","3","0","0","0",".227",".287",".308",".595",".264","0.0","0.0","0.0","999.0","14938"
"Sergio Alcantara","Tigers","12","49","45","11","2","0","0","4","3","3","10","0","1","1",".234",".286",".299",".585",".260","0.1","-0.1","0.0","999.0","sa739641"
"Eric Stamets","Indians","3","14","13","3","1","0","0","1","1","1","4","0","0","0",".204",".263",".323",".586",".258","0.1","0.0","0.0","999.0","sa621787"
"Jorge Mateo","Athletics","3","14","13","3","1","0","0","1","1","1","4","0","1","0",".213",".258",".332",".590",".256","0.0","0.0","0.0","600.9","sa657910"
"Blake Trahan","Reds","3","14","13","3","0","0","0","1","1","1","3","0","0","0",".216",".283",".286",".569",".255","0.0","0.0","0.0","999.0","17588"
"Arquimedes Gamboa","Phillies","2","7","6","1","0","0","0","1","1","1","2","0","0","0",".197",".264",".287",".551",".246","0.0","0.0","0.0","999.0","sa877497"
